name,release_year,developer,price_usd,pct_positive,metacritic,units_millions,revenue_musd,peak_ccu,genres,key_tags,evidence_strength,scale_tier,gamepass_status,source
Abiotic Factor,2025,Deep Field Games,,,88,,,,"Action, Adventure, Indie, RPG","Open World Survival Craft, Co-op, Survival, Sci-fi, Crafting, Multiplayer",strong,indie,unverified,https://outrungaming.com/the-25-best-indie-games-of-2025/
BALL x PIT,2025,Kenny Sun and Friends,,,84,,,,"Action, Casual, Indie","Roguelite, Bullet Heaven, Base Building, Pixel Graphics",strong,indie,unverified,https://outrungaming.com/the-25-best-indie-games-of-2025/
Absolum,2025,"Guard Crush Games, Supamonks",,,86,,,,"Action, Indie","Roguelite, Beat em up, 2D, Hand-drawn, Co-op",strong,indie,unverified,https://outrungaming.com/the-25-best-indie-games-of-2025/
The Alters,2025,11 bit studios,,,85,,,,"Adventure, Indie, Simulation","Survival, Sci-fi, Base Building, Story Rich, Management",strong,indie,unverified,https://outrungaming.com/the-25-best-indie-games-of-2025/
CloverPit,2025,Panik Arcade,,,77,,,,"Casual, Indie","Roguelite, Horror, Gambling, Deckbuilder, Singleplayer",medium,indie,unverified,https://outrungaming.com/the-25-best-indie-games-of-2025/
Despelote,2025,"Julian Cordero, Sebastian Valbuena",,,89,,,,"Adventure, Indie","Story Rich, Slice of Life, Football, Atmospheric, Short",strong,indie,unverified,https://outrungaming.com/the-25-best-indie-games-of-2025/
"No, I'm not a Human",2025,Critical Reflex,,,76,,,,"Adventure, Indie","Horror, Psychological Horror, Atmospheric, Story Rich, Singleplayer",medium,indie,unverified,https://outrungaming.com/the-25-best-indie-games-of-2025/
Promise Mascot Agency,2025,Kaizen Game Works,,,77,,,,"Adventure, Indie, Simulation","Open World, Management, Comedy, Story Rich, Anime",medium,indie,unverified,https://outrungaming.com/the-25-best-indie-games-of-2025/
Tiny Bookshop,2025,Neoludic Games,,,81,,,,"Casual, Indie, Simulation","Cozy, Management, Relaxing, Narrative, Singleplayer",medium,indie,unverified,https://outrungaming.com/the-25-best-indie-games-of-2025/
Clair Obscur: Expedition 33,2025,Sandfall Interactive,,,92,8.0,,,"Adventure, RPG","Turn-Based Combat, Story Rich, JRPG, Atmospheric, Singleplayer",strong,AA,unverified,https://voxbooster.com/blog/indie-game-statistics-2026/
ARC Raiders,2025,Embark Studios,,,,,,,"Action, Adventure","Extraction Shooter, PvPvE, Co-op, Multiplayer, Sci-fi",strong,AA,unverified,https://www.techspot.com/news/110753-steam-2025-best-sellers-show-indie-games-competing.html
Meccha Chameleon,2026,"lemorion_1224, Haganeiro",4.79,,,15.0,,,"Casual, Indie","Party Game, Multiplayer, Hide and Seek, Comedy, Co-op, Online Co-Op",strong,indie,unverified,https://www.windowscentral.com/gaming/the-viral-hit-of-2026-has-sold-15-million-copies-in-a-month-on-steam-costs-usd5-and-was-made-by-2-people
Mina the Hollower,2026,Yacht Club Games,19.99,,,0.5,,,"Action, Adventure, Indie","Action-Adventure, Pixel Graphics, Top-Down, Retro, Singleplayer",strong,indie,unverified,https://www.gamesradar.com/games/action/were-completely-blown-away-2026s-best-rated-game-sold-half-a-million-copies-in-its-first-week-and-the-indie-devs-behind-it-are-stunned/
Mewgenics,2026,"Edmund McMillen, Tyler Glaiel",,,,1.0,,115000,"Indie, RPG, Strategy","Turn-Based Tactics, Roguelike, Cats, Dark Humor, Singleplayer",strong,indie,unverified,https://bykron.com/blogs/learn/biggest-game-launches-2026-sales-players
Slay the Spire II,2026,Mega Crit,,,,3.0,,400000,"Indie, Strategy","Roguelike Deckbuilder, Card Game, Turn-Based, Singleplayer, Replay Value",strong,indie,unverified,https://bykron.com/blogs/learn/biggest-game-launches-2026-sales-players
Timberborn,2026,Mechanistry,,,,,,,"Indie, Simulation, Strategy","City Builder, Base Building, Colony Sim, Survival, Sandbox",medium,indie,unverified,https://screenrant.com/best-indie-games-june-2026/
Esoteric Ebb,2026,Christoffer Bodegard,,,,,,,"Indie, RPG","CRPG, Story Rich, Dice, Isometric, Choices Matter",medium,indie,unverified,https://screenrant.com/best-indie-games-june-2026/
Cairn,2026,The Game Bakers,,,,,,,"Adventure, Indie","Survival, Climbing, Exploration, Singleplayer, Atmospheric",medium,indie,unverified,https://screenrant.com/best-indie-games-june-2026/
Mixtape,2026,Beethoven & Dinosaur,,,,,,,"Adventure, Indie","Story Rich, Coming-of-age, Music, Narrative, Singleplayer",medium,indie,unverified,https://screenrant.com/best-indie-games-june-2026/
Dead as Disco,2026,Sonderlust Studios,,,,,,,"Action, Indie","Rhythm, Beat em up, Fighting, Stylized, Singleplayer",medium,indie,unverified,https://www.gametubing.com/10-indie-steam-games-from-2026-with-overwhelmingly-positive-reviews/
